index,label,text
56,promo,Bonus offer: 1GB-30TK-3days. Dial *121*5215# or https://mygp.li/mo
57,promo,"Happy New Year 2024. Sonali Bank is always with you in smart banking services. Md. Afzal Karim, CEO & MD"
58,normal,What's new?
59,promo,Get 1000TK bonus when you deposit 5000TK in bKash! Avail this offer today.
60,normal,Your due amount of 5000TK needs immediate payment.
61,smish,Call +8801715566778 to update your credit score
62,promo,Bonus offer: 2GB-45TK-3days. Dial *121*5534# or mygp.li/my
63,promo,"150TK cashback! Get Data Mixer 80GB@699TK,30days: cutt.ly/lwMwLrfw"
64,promo,Bonus offer: 3GB-60TK-3days. Dial *121*5699# or https://mygp.li/mo
65,normal,"Don't be sad, I'm with you."
66,normal,How's work going?
67,promo,"Humble tribute on the 47th martyrdom anniversary of Bangabandhu Sheikh Mujibur Rahman, the greatest Bengali of all time - Ministry of Posts & Telecommunications"
68,normal,"What's up, hi?"
69,promo,"Last day for 200TK cashback! 61GB+1000min@699TK,30days: cutt.ly/OwG5T3ub"
70,normal,Birds sing beautifully in trees.
71,normal,Hello!
72,normal,"Dear student, your tuition fee of 22,900.00TK is pending (including previous late fees). Pay current month's tuition (without fine) by 20 September 2024. Details: https://student.ulab.edu.bd/ (ULAB)"
73,promo,"5GB+150min 130TK (30days), Dial *121*5205# or https://mygp.li/a0"
74,smish,*Work from home form filling job. *Fill 5 forms for 510TK *Hiring now *Education: Just need to read Bengali *Must have WhatsApp *Salary: 8000-18000TK
75,smish,Suspicious activity detected in your account. Login to verify: [accountverify.com/VerifyBD]
76,promo,20% discount on travel packages! Contact today for booking.
77,smish,Your credit card has been blocked. Click here to reactivate: http://bit.ly/UnblockCard
78,smish,200TK free bonus! Chance to win 5000TK. https://cutt.ly/JiliG
79,normal,I wish I could tell you something.
80,promo,"5GB+150min 130TK (30days), Dial *121*5205# or https://mygp.li/a0"
81,promo,10% discount on all DVDs. Limited time offer.
82,normal,Any news for me?
83,normal,Have a good day!
84,smish,Problem detected in Janata Bank account. Call: +8801811011023
85,promo,Balance low? Get up to 200TK GP emergency balance by dialing *9#
86,smish,Congratulations! You won 1 crore TK lottery. Contact us to claim prize: 01567546390
87,promo,"Get 499TK offer for just 399TK! 31GB+450min,30days: cutt.ly/2wQlYv6U"
88,smish,Click here to complete your transaction: [transactioncomplete.com/CompleteBD]
89,smish,You won 6 vori gold! Call for details: +8801716566678
90,normal,"Your daughter is in hospital, send money urgently to 01828173912."
91,smish,"Dear student! Due to Coronavirus, your 4,200TK stipend is being processed. Contact education board at 01813849152 (10am-7:30pm). Note: Must have bKash number when calling."
92,smish,"Congratulations! You've been selected for BRAC NGO student scholarship (10,499TK). Call office: 01794567889 (11am-5pm) or reply 'OK' via SMS."
93,normal,"Your payment is pending, send money to 01728273819."
94,normal,Send urgent money to 01827382918.
95,smish,Double your savings opportunity! Call: +8801718788890
96,smish,Earn 75TK per referral. Minimum 500TK withdrawal. https://t.me/Referincomebd4536_bot?start=r07921710994
97,promo,"118TK cashback on 118TK recharge from Nagad to GP! May 6, 3pm-7pm, first come first served. Plus 5GB for 7 days! Dial *167#"
98,smish,Your gas bill is overdue. Make payment immediately. Call +8801814455667
99,normal,There's a stone beside you. Thank you.
100,normal,How's your day going today?
101,normal,Send money via Rocket to this number: 01738293765
102,promo,10% discount on all DVDs. Limited time offer.
103,smish,"Government providing up to 50,000TK subsidy for farmers. Call now to claim: 01538272734"
104,normal,May all your wishes come true!
105,smish,Update your account immediately or it will be closed. Click link: [bit.ly/AccountUpdateBD]
106,smish,"Meta pro space work opportunity. Invest 750TK (6 USD) for lifetime income with monthly salary, free 5-line income, slot income. Special offer until 30 June - get free 0.05 bnb mps nft worth 3625TK (29 USD). Don't miss this chance!"
107,smish,Urgent message from Janata Bank. Call: +8801913233345
108,promo,15% discount on digital gadgets! Shop now and get bonus.
109,smish,Sonali Bank account blocked. Click to reactivate: https://wa.me/8801818899001
110,normal,Do I have any new updates?
111,smish,*FIFA 2022 World Cup free 50GB data offer* *I've received mine* *Open link* https://ak76.xyz/?y=ep1669102548
112,smish,Click here to increase your debit card limit: [debitcardlimit.com/IncreaseBD]
113,smish,"Get 60,000TK return on 20,000TK investment! Call: +8801916566678"
114,normal,How are you friends?
115,smish,10 crore TK deposited in your bank account! Confirm by calling: +8801913233245
116,promo,Daraz 11.11 sale - up to 15% cashback + free delivery. https://click.daraz.com.bd/e/_CUeCuf Terms apply
117,normal,How's your day going?
118,smish,Change your password immediately. Click here: [passwordchange.com/ChangeBD]
119,normal,"You're not alone, I'm here."
120,promo,Special offer: 20% discount on all kids' clothing.
121,smish,You have $200 cash value from Amazon expiring in 2 days. We can credit up to $500. Click to claim your automatic savings.
122,smish,Earn from Facebook - message us. Genuine work opportunity with group support: t.me/Facebook_ID_Sell1_bot Official admin👆
123,smish,Bet on BPL and win a new bike! Join: smilesvoegol.servebbs.org/voegol.php
124,promo,150 mins for 130TK (30 days) with bonus. Dial *121*5205# or https://mygp.li/a0
125,smish,"Get 200,000TK return on 100,000TK investment! Call: +8801912122134"
126,smish,"Dear xxx, Congratulations! After reviewing your application, we're pleased to offer employment. Reply to accept and provide bank details for salary deposit."
127,promo,8GB (with bonus) for 123TK valid 15 days. Dial *121*5548# or mygp.li/mo
128,normal,I hope you succeed!
129,promo,Flat 15% discount on all shopping. Code: DISCOUNT15.
130,smish,You've won 3 vori gold! Call for details: +8801716677889
131,normal,"Everything will be fine, don't worry."
132,smish,"Dear customer, visit this link to generate new PIN code for your card. Must share correct PIN: www.pinupdate.com"
133,promo,79 paisa per minute call rate offer for 15 days. Recharge with 119TK.
134,promo,Special discount for new customers. Register today.
135,smish,Your phone number needs verification. Click here: [phonenumberverify.com/VerifyBD]
136,normal,I feel like I can't say anything.
137,promo,40TK chill cashback! 35GB+500min@459TK for 30 days: cutt.ly/0wO6Jggn
138,normal,"You can do it, I know."
139,smish,Earn money using mobile! New 2023 method. Join for details: https://t.me/Poolsclub
140,smish,Billing issue detected in your Dutch-Bangla Bank account. Click to resolve: cutt.ly/U6zMFTY
141,normal,"Everything will be alright, be patient."
142,smish,Error detected in Nagad account. Call: +8801812122234
143,promo,45TK cashback! 31GB+500min@454TK for 30 days: cutt.ly/qwWTAUku
144,smish,"Hello, I'm ALIYE from Amazon HR. We're offering part-time work (no fees/investment). Earn 300-1200TK daily in 5-10 minutes. Interested?"
145,smish,Claim your free prize by following this link: http://bit.ly/sdfsdf678
146,promo,30GB (with bonus) for 300TK valid 30 days. Dial *121*5254# or mygp.li/mo
147,promo,Today only! 100TK cashback. 50GB @398TK for 30 days: cutt.ly/hwltB5hC
148,normal,What do you want to tell me?
149,normal,My favorite place to hang out is Barbeque.
150,smish,Update your Facebook account. Click here: [facebookupdate.com/UpdateBD]
151,smish,"Your land sale money has been deposited, call: +8801819900112"
152,promo,"Candidates interested in participating in the 12th National Parliament Election can submit nomination papers online alongside the traditional method. To submit nominations online, visit the commission's website www.ecs.gov.bd-EC"
153,smish,"Aarong is offering a massive Eid offer, click here 
https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868"
154,smish,SCHOOL PART TIME TEACHER POST APPLY Now. Online selection process. Selection will be based on numbers. Send B.SC pass Marksheet and certificate to WhatsApp 7602236317
155,promo,"TK45 cashback! 31GB+500min@TK454 for 30 days, grab it now: cutt.ly/qwWTAUku"
156,promo,10% discount on all cosmetics. This offer is for a limited time.
157,normal,Send money via Rocket to this number: 01927283792
158,smish,"TK5,000 has been deposited into your bKash account. For details, call: +8801810900912"
159,promo,Bonus offer: 2GB-TK45-3days. Dial *121*5534# or visit mygp.li/my
160,normal,I'm going to hang out with my year-round friends.
161,promo,TK150 cashback best offer: 61GB+1000min@TK749 for 30 days: cutt.ly/NwYKElsc
162,smish,"No fee required. 🎁🎁
Earn $1 to $2 daily, with additional earning opportunities. Message us if interested."
163,promo,Special offer: 20% discount on all kids' clothing.
164,promo,"Exclusive offer for new MyGP SIM: 2GB internet for only TK17, valid for 7 days (once per month). Visit https://mygp.li/ga"
165,smish,"Attractive jobs and studies, monthly salary 2 lakh+ and PR opportunity in South Korea.
Free education and accommodation.
01720557103
01720557120
01321200716
01550402100"
166,promo,"TK100 cashback! 31GB+450min@TK399 for 30 days, grab it now: cutt.ly/2wQlYv6U"
167,normal,Happy New Year!
168,normal,"What's up, hello?"
169,normal,I want to spend time with my family.
170,promo,Only TK97 for 30 days World Cup Cricket + 1GB data: cutt.ly/YwmtpRRj
171,normal,How are you? I'm fine. What's new with you?
172,promo,25% discount on all clothing this new season. Shop now.
173,promo,TK50 cashback pro-level data deal: 50GB@TK448 for 30 days: cutt.ly/nwMwL8Y1
174,promo,Bonus offer: 1GB-TK30-3days. Dial *121*5215# or visit https://mygp.li/mo
175,normal,Are you going to the beach?
176,promo,"Discount on our products. For details, contact this number: 01789654321."
177,promo,Up to 20% discount on online shopping! Use the code to avail.
178,promo,"TK30 cashback! 31GB+450min@TK469 for 30 days, grab it now: cutt.ly/hwTmxGd8"
179,normal,Call this number: 01672573848.
180,promo,"TK30 cashback! 31GB+450min@TK469 for 30 days, grab it now: cutt.ly/hwTmxGd8"
181,promo,Bonus offer: 2GB-TK35-7days. Dial *121*5037# or visit mygp.li/mo
182,smish,You've won an Apple iPhone 13! Call to confirm delivery: +8801814567890
183,normal,Your hard work will pay off.
184,smish,You've won an Apple iPhone 15! Call to confirm delivery: +8801811011123
185,smish,Click here to increase your credit card limit: http://bit.ly/CardLimit
186,normal,You can achieve whatever you want.
187,normal,"This is Rakib's number, call 01763839854."
188,normal,What's the news?
189,normal,I feel healthy and my body seems fine.
190,promo,Flat 15% discount on all shopping. Code: DISCOUNT15.
191,normal,"Hello, what are you doing?"
192,normal,Happy Pohela Boishakh!
193,promo,"For system upgrades, mobile recharge via Flexiload will be unavailable from May 11 at 11:59 PM to May 12 at 8:00 AM. However, you can recharge using the MyGP app or scratch cards during this time."
194,smish,Your package is on hold. Click here to provide additional information to complete shipping: https://ow.ly/ xjfF50QsUP4
195,normal,How is your day going?
196,normal,Do I have any new updates?
197,normal,What will you eat? Meat is being cooked today. You?
198,smish,"Dear customer, click the link below to get 10GB internet and 100 minutes free for your number"
199,smish,Click here to increase your credit card limit: http://bit.ly/CardLimit
200,normal,"Thank you, brother."
201,promo,20% discount on travel packages! Contact today to book.
202,smish,"Dear customer, your account has been temporarily closed due to suspicious transactions. According to Bangladesh Bank policy, it will be reactivated based on correct information. A manager will call you ( ...... )"
203,smish,Please send money urgently for your son's problem.
204,promo,30GB (with bonus) TK300 for 30 days. Dial *121*5254# or mygp.li/mo
205,normal,"Success will come to you, be patient."
206,normal,Assalamu Alaikum.
207,smish,"⏩New website [PROFITSHOP24]
▶️Registration fee 15 TK
▶️ Registration link: inbox.
🌟 Work is:
Watching YouTube videos, or following a Facebook page, you can earn 1-3 TK.🔥😱
👉You can withdraw with just 35 TK 👈"
208,promo,"Insurance is the arrangement to reduce unwanted/accidental damage to your life, health, and property. Get insured, stay risk-free  - Insurance Development and Regulatory Authority."
209,normal,Your courage is extraordinary.
210,promo,"More chatting+interneting, get 5GB+150min@TK149, 7 days cutt.ly/owEyhCVt"
211,promo,"Grameenphone minute offer now more attractive! 27 minutes for 24 hours, recharge or bKash 19 TK."
212,promo,"Pocket saving for full interneting, get 2GB@TK69, 7 days- cutt.ly/CwUPKGTR"
213,smish,Click here to verify your email address: [emailsecure.net/VerifyBD]
214,promo,30GB (with bonus) TK300 for 30 days. Dial *121*5254# or mygp.li/mo
215,promo,"Hotshot cashback TK18! 22GB@TK179 in hotspot deal, 7 days: cutt.ly/fwLo4TBP"
216,promo,"Buy 3, 5 and 10 katha plots of Navana adjacent to Purbachal – 01847-214019"
217,smish,Bangladesh Bank account blocked. Click here to reactivate: https://wa.me/8801911011123
218,smish,Urgent message for you from Sonali Bank. Click here for details: https://wa.me/8801816677889
219,smish,"Great offer to win smartphone! Answer some simple questions and win attractive smartphone Oppo A17 worth TK14,999 for just TK2.78/day, dial *213*664#"
220,promo,2GB with bonus - TK35 - 7 days. Dial *121*5037# or mygp.li/mo
221,smish,Earn TK500-700 daily! Using Flexiload SIM from home. Inbox for details.
222,smish,"If you try well, you can earn TK30-60 thousand per month...!🥰Even if you don't want to work, do our online class once, hope you will like it.
Only telegram id needed."
223,normal,Recharge my number 01736637387 with TK500 flexiload
224,promo,"5GB+150minutes TK130 (30 days), dial *121*5205# or https://mygp.li/a0"
225,normal,Good morning!
226,smish,"Attractive job and education, monthly salary TK2 lakh+ and opportunity for permanent residence in South Korea.
Free tuition and accommodation.
Contact:
01720557103
01720557120
01321200716
01550402100"
227,normal,Electricity bill has been applied.
228,normal,Are you going to the concert?
229,promo,"'Will insure, will build country
Bangladesh will be smart.' Insurance Development and Regulatory Authority and Financial Institutions Division, Ministry of Finance."
230,normal,Move forward with confidence.
231,smish,Your credit card has been blocked. Click here to reactivate: http://bit.ly/UnblockCard
232,normal,"Everything will be fine, be patient."
233,smish,If you want to earn TK1500 daily  please click this link and register for work: [https://t.me/DailyEarn_Money_bot?start=r07045881105](https://t.me/DailyEarn_Money_bot?start=r07045881105). If you have any questions  inbox.
234,promo,25% discount on all clothes in new season. Shop today.
235,smish,"PLC,LIMITED.

Dear applicant, congratulations!

Your CV has been selected. Position name - Customer Service/Unit Manager (Dev..) (Part Time / Full Time). If you are interested in the job, you must bring CV and 4 copies of passport size photos.

Work location - You can choose any branch office in Dhaka city.

Interview date - November 14, 2023 (10.00am - 04.00pm)

Contact address - 166, Dilkusha, Motijheel, Dhaka 1000.

Call for details: 01613589137"
236,promo,Limited time offer! 40GB (with bonus) TK500 for 30 days. Dial *121*5049# or mygp.li/mo
237,normal,"Hello, how are you?"
238,promo,Offer: 10% cashback on all electronics. Code: ELEC10.
239,smish,"If you want to earn TK200-300 per day, click the link
https://t.me/Referincome3838_bot?start=r02263807585"
240,promo,Free delivery on all orders. For limited time.
241,promo,Special discount for new customers. Register today.
242,smish,Call to recharge your mobile: +8801818788890
243,promo,Up to TK30 cashback on skitto deals in bKash app cutt.ly/8HBaVWF
244,smish,Call +8801816677889 to reactivate your internet connection
245,normal,How is your time passing?
246,smish,"Dear countrymen! (COVID-19)
TK2,500 government
assistance will be given for coronavirus.
Contact the number below to receive money:- 01810559231"
247,normal,Happy Pohela Boishakh!
248,normal,This time will also pass.
249,promo,2GB with bonus - TK40 - 7 days. Dial *121*5037# or mygp.li/mo
250,smish,Call to recharge your mobile: +8801814344356
251,smish,"""Welcome to cloud colors! Let's decorate your home easily with installments. Order online and possibly get it within this month - 01746635725"""
252,smish,Call to restart your internet connection +8801811122334
253,normal,"Everything will be fine, don't worry."
254,normal,Call this number 01827283962.
255,promo,"TK50 cashback pro-level data deal 50GB@TK448,30days cutt.ly/nwMwL8Y1"
256,smish,There is a billing problem with your Dutch Bangla Bank account. Click here to solve the problem: cutt.ly/U6zMFTY
257,promo,"5GB+150minutes TK130 (30days), dial *121*5205# or https://mygp.li/a0"
258,smish,Problem occurred with Sonali Bank account. Call: +8801813233245
259,normal,"Good night, stay well!"
260,normal,Happy Holi!
261,smish,Your mobile number has won a high-end laptop! Call to get the prize +8801814455667
262,smish,Get a chance to have free dinner with Mashrafe by betting at the casino. Start: promusic.co/components/interbank.com/
263,normal,Do you really like it? I like spending a little time at my home.
264,smish,Error occurred in Bangladesh Bank account. Call: +8801814344356
265,promo,Get your favorite Skitto packs from bKash app now: cutt.ly/Zwcqh6YQ
266,smish,"Dear applicant, you have been selected for an interview with the center enemy leadership on Tuesday 04/05 at 9 AM @1st floor. Please contact for inquiry: 09029900659"
267,smish,Error occurred in Bangladesh Bank account. Call: +8801814344356
268,promo,10% discount on new menu! Come to our restaurant today.
269,promo,Flat 15% discount on all shopping. Code: DISCOUNT15.
270,normal,Where is your time going?
271,normal,Send money to my number 01972771714
272,normal,It would be helpful if aunt's bill was paid  can't pay it  please help and pay aunt's bill
273,normal,"Hello, what are you doing?"
274,smish,"You have won TK5,000 prize from Nagad account! Call for details: +8801919899901"
275,promo,"Sheikh Hasina government's success:
Mobile handset production was 0% in 2008, currently 97% of demand is being met from 15 factories in the country."
276,promo,"TK100 cashback! 30GB+500min. @TK399,30days: cutt.ly/AwkY4L2C"
277,normal,How are you?
278,normal,What are you doing?
279,normal,I wouldn't have known if you hadn't said
280,smish,"Your land sale money has been deposited, call: +8801819899901"
281,promo,"Direct recruitment for commissioned officer positions in Bangladesh Navy is ongoing.
Visit: www.joinnavy.navy.mil.bd"
282,normal,"Hi, I'm here."
283,smish,"I need 200 people, no advance needed, if you want to work without free investment, inbox me. https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868"
284,smish,"https://t.me/Referincomebd4536_bot?start=r00798685036
If you want to earn 200 to 300 taka per day, click this link"
285,promo,25% discount on all clothes in new season. Shop today.
286,smish,Urgent message from Bangladesh Bank. Click here for details: https://wa.me/8801913233245
287,promo,"TK100 cashback! 31GB+450min.@TK399 30days, get it: cutt.ly/2wQlYv6U"
288,smish,Flash sale! Get up to 70% off on Daraz for the next 24 hours. Click here to claim your discount: https://Daraz.com/7ty
289,normal,Are you going by tram?
290,smish,Call to update your driving license +8801815566778
291,smish,"Earn TK15,000 by investing TK5,000! Call: +8801916677889"
292,normal,What are you doing?
293,normal,"You are amazing, have faith in yourself."
294,promo,May 05 International Midwife Day. This year's theme - From evidence to reality: All midwives together.
295,smish,Having login problems with your bank account? Click here: http://bit.ly/LoginHelp
296,smish,Click here to recharge your mobile balance: [securetopup.com/TopupBD]
297,normal,"I am fine, how are you?"
298,smish,"Bet at casino and win TK10,000 cashback! Start: xini.eu/00Qe"
299,normal,"Hello, how are you?"
300,promo,"TK100 cashback 31GB+450min.@TK399,30days, get it: cutt.ly/2wQlYv6U"
301,smish,Please update your credit card immediately. Click here: [securecreditcard.com/UpdateBD]
302,promo,3GB with bonus - TK 60 - 3 days. Dial *121*5699# or https://mygp.li/mo
303,normal,Send money to this number via Rocket: 01738293765
304,promo,1GB with bonus - TK 30 - 3 days. Dial *121*5215# or https://mygp.li/mo
305,smish,Call +8801811122334 to reconnect your internet connection
306,normal,Happy Sick Day wishes!
307,promo,Special offer: 20% discount on all children's clothing.
308,normal,What you can do is amazing.
309,normal,Send money to this number: 01873828174
310,normal,Tell me what you want to do with me. I want to walk with you.
311,normal,"You are amazing, believe in yourself."
312,smish,An error has occurred in your Bangladesh Bank account. Call: +8801814344356
313,normal,"TK 3000 has been deducted from your account, please call."
314,promo,"Success of Sheikh Hasina's government: 
Farmer-friendly government reduced fertilizer prices—TSP from TK 80 to 27, DAP from TK 90 to 21, and MOP from TK 70 to 20."
315,smish,"❤️If anyone wants to work online without any fee, inbox me. I will help as much as I can, InshaAllah 🫶🫶🫶

📣💁‍♂️ The days are changing for network marketers. 🧑‍💻

❤️‍🔥 Around 3.2 million young people around the world are working in network marketing. They are earning dollars from home and giving opportunities to others too. 🥀 InshaAllah you will earn as well 🥀 😊
Free income site link- 
https://www.highcpmgate.com/muigh4ey03?key=beb861fae1d527a916402431ed1e7eb8"
316,promo,"TK 50 cashback on pro-level data deal 50GB@TK 448, 30 days cutt.ly/nwMwL8Y1"
317,normal,"Everything will be fine, be patient."
318,promo,15% discount on fitness equipment! Order today.
319,smish,Click here to verify your email address: [emailverify.com/VerifyBD]
320,smish,"Claim your BDT 5,000 gift card from Aarong. Visit now www.face3b00kurl.com"
321,promo,Will Dhoni lift the trophy? Watch IPL Final cutt.ly/ywqDAPVv
322,normal,What can you do?
323,promo,"New deal for chatting + internet: 12GB + 300 min @TK 297, 30 days cutt.ly/Nw0efEst"
324,normal,Are you going to the gym?
325,promo,"Century in cashback TK 100! 55GB @TK 398, 30 days: cutt.ly/hwltB5hC"
326,smish,You missed your credit card bill payment. Click here to pay: http://bit.ly/PayBill
327,normal,I went to school this afternoon.
328,promo,"Offer of TK 499 for TK 399! Get 31GB + 450 min., 30 days: cutt.ly/2wQlYv6U"
329,promo,"Buy 3, 5 & 10 katha plots adjacent to Purbachal Navana – 01847-214019"
330,promo,"5GB + 150 minutes for TK 130 (30 days), dial *121*5205# or https://mygp.li/a0"
331,normal,"Your electricity bill is due TK 950, please pay soon."
332,promo,"Ongoing landfilling plot adjacent to Sector 30, Purbachal! 1.6 lakh per katha
01894841736"
333,promo,"Pocket saving on pro-level internet: 3GB@TK 98, 7 days cutt.ly/9wEyjoLc"
334,smish,Update your credit card account. Please click here: http://bit.ly/CardUpdate
335,normal,"You are strong, you can do it."
336,normal,"I have TK 50,000 in my account, check if it is open in this number: 0173883884"
337,smish,"Urgent recruitment:
Office assistant
Accommodation and meals provided"
338,smish,Special offer on Bitcoin! Login now: http://bit.ly/BitcoinOffer
339,normal,Where are you going?
340,smish,Part-time job. Salary 5000 BDT/day. Work from home: wa.me/85295102105
341,promo,"Century in cashback TK 100! 55GB @TK 398, 30 days: cutt.ly/hwltB5hC"
342,normal,Are you going to watch a movie today?
343,smish,Urgent message from Bangladesh Bank. Call: +8801915566778
344,smish,"Your package is on hold, to complete your shipping please provide more information here: https://ow.ly/ xjfF50QsUP4"
345,normal,How are you?
346,smish,Bet on IPL to win gloves signed by Shakib. Click now: promusic.co/components/interbank.com/
347,normal,"Whatever you want to do, you can do it."
348,smish,"Earn TK 400,000 by investing TK 200,000! Call: +8801710900912"
349,smish,We need your information to process your payment. Click here: [paymentverify.com/VerifyBD]
350,smish,Bet at the casino today to win a free trip with Mashrafe. Click: xini.eu/00Qe
351,promo,"“Health, nutrition, and prosperity are desired, there is no alternative to safe food.” 02 February National Safe Food Day 2024, may it be successful. Bangladesh Safe Food Authority, Ministry of Food."
352,normal,"Instead of Eid, Happy New Year!"
353,promo,"200 TK cashback last day! 61GB+1000min\@TK699, 30 days: cutt.ly/OwG5T3ub"
354,smish,"Dear customer, 8990 TK. K Enterprise ds POS/ECOM.Txn# on 23-02-2020 a txn was made on XX card. It was not done by you, forward this SMS from your registered mobile number. 18604195555"
355,normal,How is your day going?
356,smish,"Janata Bank account has been blocked. To reactivate, call: +8801815566778"
357,promo,Balance finished? Take up to 200 TK GP emergency balance by dialing \*9#
358,promo,"Double century cashback TK 200! 61GB+1000min\@TK699, 30 days cutt.ly/FwQhpKHc"
359,smish,"Hi dear, you can earn 2000 TK daily working from home. To accept this job, click: [https://wa.me/8801872825931](https://wa.me/8801872825931)"
360,smish,Login here to secure your account: \[accountsecure.net/LoginBD]
361,normal,Blessed month of Ramadan!
362,promo,10% discount on all DVDs. Offer valid for limited time.
363,normal,Be someone who reminds you of Allah’s words. – \[Dr. Bilal Philips]
364,promo,Buy a new mobile and get 1000 TK cashback! Trade in today.
365,smish,5000 TK deposited to Sonali Bank account. Click here to confirm: [https://wa.me/8801812345678](https://wa.me/8801812345678)
366,normal,Happy New Year!
367,smish,Your Dutch Bangla Bank account has billing issues. Click here to resolve: cutt.ly/U6zMFTY
368,smish,"If qualified, you can earn online by teaching. Contact User-10381381741225860264 for this. [https://t.me/Trust\_earning\_Airdropbot?start=r04351947315](https://t.me/Trust_earning_Airdropbot?start=r04351947315)"
369,promo,Free delivery on all orders. For a limited time.
370,promo,Special offer: 20% discount on all children's clothing.
371,smish,Bet on the casino today and win a luxury trip! Join: smilesvoegol.servebbs.org/voegol.php
372,normal,Urgently send money to 01738287365.
