index,label,text
69,promo,"২০০TK cashback শেষ দিন! ৬১GB+১০০০min@৬৯৯TK,৩০দিন: cutt.ly/OwG5T3ub"
70,normal,পাখিরা tree-তে very beautiful গান গায়।
71,normal,Hello!
72,normal,"প্রিয় student, আপনার tuition fee আজ পর্যন্ত ২২,৯০০.০০ TK বকেয়া আছে। (previous late fee সহ) current month-এর tuition fee (without fine) ২০ September, ২০২৪ মধ্যে pay করুন। Details https://student.ulab.edu.bd/ login করুন। (ULAB)"
73,promo,"৫GB+১৫০min ১৩০TK (৩০দিন),Dial *১২১*৫২০৫# বা https://mygp.li/a0"
74,smish,"*Home-এ বসে form fillup কাজ। 
* ৫ form fillup ৫১০ TK, 
আমাদের company-তে hiring চলছে। 
*Qualification: বাংলা পড়তে পারলেই হবে 
*WhatsApp থাকতে হবে। 
*Salary: ৮০০০-১৮০০০ TK"
75,smish,আপনার account-এ suspicious activity হয়েছে। Login করে verify করুন: [accountverify.com/VerifyBD]
76,promo,Travel package-এ ২০% discount! Booking করতে আজই contact করুন।
77,smish,আপনার credit card block করা হয়েছে। Unlock করতে click করুন: http://bit.ly/UnblockCard
78,smish,"২০০ TK free bonus!
৫০০০TK জেতার chance।
https://cutt.ly/JiliG"
79,normal,আমি যেন your কাছে কিছু বলতে পারি।
80,promo,"৫GB+১৫০min ১৩০TK (৩০দিন),Dial *১২১*৫২০৫# বা https://mygp.li/a0"
81,promo,All DVD-তে ১০% discount। Offer limited time-এর জন্য।
82,normal,আমার জন্য any new news আছে?
83,normal,তোমার জন্য a good day!
84,smish,জনতা Bank account-এ problem হয়েছে। Call করুন: +8801811011023
85,promo,Balance শেষ? ২০০TK পর্যন্ত GP emergency balance নিতে *৯#
86,smish,Congratulations! আপনি ১ crore TK lottery জিতেছেন। আপনার prize collect করতে contact করুন। Contact:০১৫৬৭৫৪৬৩৯০
87,promo,"৩৯৯TK-এ ৪৯৯TK-এর offer! নাও ৩১GB+৪৫০min.,৩০দিন: cutt.ly/2wQlYv6U"
88,smish,আপনার transaction complete করতে click করুন: [transactioncomplete.com/CompleteBD]
89,smish,আপনি ৬ vori gold জিতেছেন! Details জানতে call করুন: +8801716566678
90,normal,"আপনার daughter hospital-এ, quickly money পাঠান ০১৮২৮১৭৩৯১২।"
91,smish,"প্রিয় student! Coronavirus-এর কারণে তোমাদের উপবৃত্তির ৪,২০০ TK দেওয়া হচ্ছে। Money receive-এর জন্য নিম্নোক্ত শিক্ষাবোর্ডের number-এ contact করুন।
Mobile: 01813849152,
Contact time সকাল 10টা রাত 7:30টা পর্যন্ত Note: একটা bKash number নিয়ে phone দিতে হবে"
92,smish,"""Congratulations! আপনি পাসেন"" ""bKash"""" & BRAC""""N.G.O"""" project থেকে """"STUDENT scholarship"""" (টাকা-10,499/) আপনার amount ID: এখন আপনার candidate select করুন: Bestarito Janta Call করুন office: 01794567889 (am 11 to 5pm} অথবা""""ঠিক আছে""""লিখা SMS করবেন? আমরা আপনার কাছে call করবো.!"""
93,normal,"আপনার payment pending রয়েছে, ০১৭২৮২৭৩৮১৯ TK পাঠান।"
94,normal,০১৮২৭৩৮২৯১৮ এই number-এ urgent money পাঠান।
95,smish,আপনার savings double করার opportunity! Call করুন: +8801718788890
96,smish,"প্রতি refer-এ 75 TK minimum 500 TK withdraw করতে পারবেন। 

https://t.me/Referincomebd4536_bot?start=r07921710994"
97,promo,"Nagad থেকে Grameeenphone-এ ১১৮TK recharge-এ ১১৮TK cashback! ৬ May, afternoon ৩টা-সন্ধ্যা ৭টা, minute-এ ১ম জন। সাথে ৫GB, ৭দিন! Dial *১৬৭#"
98,smish,আপনার gas bill due রয়েছে। Immediately payment করুন। Call করুন +8801814455667
99,normal,তোমার পাশে a guardian আছে। Thank you।
100,normal,আজকের your day কেমন কাটছে?
101,normal,০১৭৩৮২৯৩৭৬৫ এই number-এ Rocket-এ money পাঠান।
102,promo,All DVD-তে ১০% discount। Offer limited time-এর জন্য।
103,smish,কৃষকদের জন্য government দিচ্ছে ৫০ হাজার TK পর্যন্ত subsidy। Subsidy পেতে এখনই contact করুন ০১৫৩৮২৭২৭৩৪
104,normal,তোমার সকল wish পূরণ হোক!
105,smish,"আপনার account immediately update করুন, না হলে এটি close হয়ে যাবে। Link-এ click করুন: [bit.ly/AccountUpdateBD]"
106,smish,"Meta pro space কাজ করলে inbox 
Only ৬ dollar বাংলা
 ৭৫০ TK দিয়ে account করে lifetime income করুন,  সাথে আছে monthly salary, ৫ line free income, slot income, ৩০ June-এর মধ্যে ১২ dollar বাংলা ১৫০০ TK দিয়ে ২টা program কিনে নিলে পাচ্ছেন 0.05 bnb-এর mps nft free অর্থাৎ ২৯ dollar free পাচ্ছেন
বাংলা ৩৬২৫ TK| এমন opportunity আর পাবেন না, ৩০ June-এর মধ্যে যারা account করবে তারাই পাবে
এমন chance miss করবেন না
Quickly account করে ফেলুন"
107,smish,জনতা Bank থেকে urgent message। Call করুন: +8801913233345
108,promo,Digital gadget-এ ১৫% discount! আজই shop করুন এবং bonus পান।
109,smish,সোনালী Bank account block হয়েছে। Reactivate করতে click করুন: https://wa.me/8801818899001
110,normal,আমার কাছে any new news আছে?
111,smish,"* FIFA 2022 World Cup দেখার জন্য worldwide people-কে free 50GB data দেয়৷* * I have received mine.** Open করুন* https://ak76.xyz/?y=ep1669102548"
112,smish,আপনার debit card-এর limit increase করতে click করুন: [debitcardlimit.com/IncreaseBD]
113,smish,"২০,০০০ TK investment-এ ৬০,০০০ TK পান! Call করুন: +8801916566678"
114,normal,বন্ধুরা kemon achho?
115,smish,আপনার bank account-এ ১০ crore TK deposit হয়েছে! Confirm করতে call করুন: +8801913233245
116,promo,Daraz ১১.১১-তে cash-এ ১৫% পর্যন্ত cashback + free delivery। https://click.daraz.com.bd/e/_CUeCuf Terms apply
117,normal,Kemon cholchhe tomar din?
118,smish,আপনার password immediately change করুন। Click করুন: [passwordchange.com/ChangeBD]
119,normal,"তুমি alone নও, I'm here।"
120,promo,Special offer: All kids clothing-এ ২০% discount।
121,smish,আপনার কাছে Amazon থেকে $200 cash value রয়েছে ২ days-এর মধ্যে expire হবে৷ We can give you up to $500 refund। A recent decision-এর কারণে last year আমরা আপনাকে বেশি charge করতে পেরেছি। Your automatic savings ready.
122,smish,"Free Facebook থেকে income করুন inbox করুন
Honestly কাজ করেন 🥰😍
Support (group এবং bot)
t.me/Facebook_ID_Sell1_bot 
Official admin👆"
123,smish,BPL-এ bet ধরুন এবং new bike জিতুন! Join করুন: smilesvoegol.servebbs.org/voegol.php
124,promo,"১৩০TK-এ ১৫০min(৩০days) সাথে bonus,নিতে*১২১*৫২০৫#  https://mygp.li/a0"
125,smish,"১,০০,০০০ TK investment-এ ২,০০,০০০ TK পান! Call করুন: +8801912122134"
126,smish,"প্রিয় xxx, Congratulations! Your application এবং resume verify করার পরে, আমরা happily একটি job offer দিচ্ছি। Your acceptance দিয়ে এই email-এর reply দিন এবং salary deposit-এর জন্য your bank details provide করুন।"
127,promo,"৮GB(bonus সহ) ১২৩TK ১৫days।Dial *১২১*৫৫৪৮#, mygp.li/mo"
128,normal,আশা করি তোমার successful হোক!
129,promo,Flat ১৫% discount all shopping-এ। Code: DISCOUNT15.
130,smish,আপনি ৩ vori gold জিতেছেন! Details জানতে call করুন: +8801716677889
131,normal,"Everything ঠিক হয়ে যাবে, worry করো না।"
132,smish,"প্রিয় customer, আপনার card-এর new PIN code generate করতে নিচের link-এ যান এবং previous all information provide করুন, অবশ্যই correct PIN codeটি share করবেন না। Link: www.pinupdate.com"
133,promo,৭৯ paisa per minute ১৫ days duration-এর call rate offer-টি নিতে ১১৯ TK recharge করুন। 
134,promo,New customers-এর জন্য special discount। Register করুন আজই।
135,smish,আপনার phone number verify করা দরকার। Click করুন: [phonenumberverify.com/VerifyBD]
136,normal,আমি যেন kichu bolte pari na।
137,promo,"৪০TK chill cashback-এ ৩৫GB+৫০০min.@৪৫৯TK ৩০days, নাও: cutt.ly/0wO6Jggn"
138,normal,"তুমি parbe, I know।"
139,smish,Mobile দিয়ে money income করুন! New way 2023 year-এর জন্য। Details জানতে join করুন: https://t.me/Poolsclub
140,smish,আপনার Dutch-Bangla Bank account-এ billing problem হয়েছে। Problem solve-এর জন্য click করুন:cutt.ly/U6zMFTY
141,normal,"Everything ঠিক হয়ে যাবে, patience রাখো।"
142,smish,Nagad account-এ error দেখা দিয়েছে। Call করুন: +8801812122234
143,promo,"৪৫TK cashback! ৩১GB+৫০০min.@৪৫৪TK ৩০days, নিয়ে নাও: cutt.ly/qwWTAUku"
144,smish,"Hello, আমার name ALIYE। আপনাকে disturb করার জন্য sorry। I am from Amazon.com HR department। Can I take your few minutes?
Afternoon আড়াইটা
Our company আপনাকে একটি part-time job offer করতে পেরে happy যা আপনি your free time-এ করতে পারেন, তাই আমাদের প্রচুর number-এ cooperative worker নিয়োগ করতে হবে (no fee এবং investment)। This job easy এবং flexible এবং your current job-এ interfere করবে না। Later আপনি day-এ only 5-10 minutes-এ easily 300-1200TK earn করতে পারবেন। আপনি কি এই job-এ interested?"
145,smish,আপনার free prize claim করতে এই link follow করুন: http://bit.ly/sdfsdf678
146,promo,৩০GB (bonus সহ) ৩০০TK ৩০days। Dial *১২১*৫২৫৪# বা mygp.li/mo
147,promo,Only today ৳১০০ cashback! ৫০GB @৳৩৯৮ ৩০days: cutt.ly/hwltB5hC
148,normal,তুমি amake ki bolte chao?
149,normal,প্রাণ চলার জন্য আমার favorite place বার্বিকিউট।
150,smish,আপনার Facebook account update করুন। Click করুন: [facebookupdate.com/UpdateBD]
151,smish,"Your land sale money has been deposited, call করুন: +8801819900112"
152,promo,"Candidates interested in participating in the twelfth national parliament election can submit nomination papers online as well as through conventional methods. To submit nominations online, enter the commission's website www.ecs.gov.bd"-EC
153,smish,"Aarong is giving huge offer for Eid click করুন 
https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868"
154,smish,SCHOOL PART TIME TEACHER POST APPLY Now. Online selection process. Number এর base এ selection করা হবে. B.SC pass Marksheet and certificate send WhatsApp 7602236317
155,promo,"TK 45 cashback! 31GB+500min@TK 454 30 days, নিয়ে নাও: cutt.ly/qwWTAUku"
156,promo,All cosmetics এ 10% discount। Offer টি limited time এর জন্য।
157,normal,01927283792 এই number এ Rocket এ money পাঠান।
158,smish,"bKash account এ TK 5,000 deposited হয়েছে। Details জানতে call করুন: +8801810900912"
159,promo,Bonus সহ 2GB-TK 45-3 days। Dial *121*5534# বা mygp.li/my
160,normal,Twelve months এর friends দের সঙ্গে adda দিতে যাচ্ছি।
161,promo,"TK 150 cashback এ best offer 61GB+1000min@ TK 749, 30 days: cutt.ly/NwYKElsc"
162,smish,"Ad fee লাগবে না। 🎁🎁
Daily $ 1 থেকে $2 dollar income করতে পারবেন এছাড়াও আরো income আছে যদি কেউ করতে চান inbox এ message দেন।"
163,promo,Special offer: সব children এর clothes এ 20% discount।
164,promo,"শুধুমাত্র MyGP তে new SIM এর offer এখন 2GB internet মাত্র TK 17 তে,validity 7 days(monthly maximum একবার)।Visit করুন https://mygp.li/ga"
165,smish,"Attractive job এবং study, monthly salary 2 lakh+ এবং PR opportunity @ South Korea।
Free education এবং accommodation.
01720557103
01720557120
01321200716
01550402100"
166,promo,"TK 100 cashback! 31GB+450min@TK 399 30 days, নিয়ে নাও: cutt.ly/2wQlYv6U"
167,normal,Happy New Year!
168,normal,"What's up, hello?"
169,normal,আমি আমার family এর সঙ্গে time কাটাতে চাই।
170,promo,মাত্র TK 97 30 days World Cup cricket + 1GB data নিতে: cutt.ly/YwmtpRRj
171,normal,How are you? আমি ঠিক আছি। তুমি কি new করে?
172,promo,New season এ সব clothes এ 25% discount। Today ই shopping করুন।
173,promo,"TK 50 cashback এ pro-level data deal 50GB@TK 448,30 days cutt.ly/nwMwL8Y1"
174,promo,Bonus সহ 1GB-TK 30-3 days। Dial *121*5215# বা https://mygp.li/mo
175,normal,তুমি কি sea তে যাচ্ছো?
176,promo,আমাদের products এ discount চলছে। Details জানাতে এই number এ contact করুন: 01789654321।
177,promo,Online shopping এ 20% পর্যন্ত discount! Code use করে benefit নিন।
178,promo,"TK 30 cashback! 31GB+450min@TK 469 30 days, নিয়ে নাও: cutt.ly/hwTmxGd8"
179,normal,01672573848 number এ call করুন।
180,promo,"TK 30 cashback! 31GB+450min@TK 469 30 days, নিয়ে নাও: cutt.ly/hwTmxGd8"
181,promo,Bonus সহ 2GB-TK 35-7 days। Dial *121*5037# বা mygp.li/mo
182,smish,Apple iPhone 13 win করেছেন! Delivery confirm করতে call করুন: +8801814567890
183,normal,তোমার hard work successful হবে।
184,smish,Apple iPhone 15 win করেছেন! Delivery confirm করতে call করুন: +8801811011123
185,smish,আপনার credit card এর limit বাড়াতে এখানে click করুন: http://bit.ly/CardLimit
186,normal,"তুমি যা করতে চাইবে, তা পারবে।"
187,normal,"এটা Rakib এর number, 01763839854 call দিস।"
188,normal,What's up?
189,normal,আমি healthy মনে হয় এবং আমার body ভালো মনে হয়।
190,promo,Flat 15% discount সব shopping এ। Code: DISCOUNT15.
191,normal,"Hello, আপনি কি করছেন?"
192,normal,Happy Pohela Boishakh!
193,promo,System এর quality improvement এর জন্য 11 May রাত 11:59 থেকে 12 May সকাল 8টা পর্যন্ত Flexiload এর মাধ্যমে mobile recharge বন্ধ থাকবে। তবে এই time MyGP app বা scratch card দিয়ে recharge করা যাবে।
194,smish,"আপনার package hold এ আছে, এখানে আপনার package shipping complete করার জন্য আপনাকে আরো information provide করতে হবে:https://ow.ly/ xjfF50QsUP4"
195,normal,আপনার day কেমন কাটছে?
196,normal,আমার কাছে কোনো new news আছে?
197,normal,কি খাবে? Today meat এর cooking হচ্ছে। তুমি?
198,smish,Dear customer আপনার number এর 10 GB internet এবং 100 minutes free পেতে নিচের link এ click করুন
199,smish,আপনার credit card এর limit বাড়াতে এখানে click করুন: http://bit.ly/CardLimit
200,normal,Thank you ভাই।
201,promo,ভ্রমণ package এ ২০% discount! Booking করতে আজই contact করুন।
202,smish,"প্রিয় customer, suspicious transaction এর কারণে আপনার account temporarily বন্ধ করা হয়েছে।Bangladesh Bank এর policy অনুসারে সঠিক information এর basis এ পুনরায় activate করে দেওয়া হবে। একজন manager আপনাকে call দেবে ( ...... )"
203,smish,দয়া করে আপনার son এর problem এর জন্য তাড়াতাড়ি money পাঠান।
204,promo,৩০GB (bonus সহ) 300TK ৩০days। Dial *১২১*৫২৫৪# বা mygp.li/mo
205,normal,"Success তোমার দিকে আসবে, patience ধরো।"
206,normal,Assalamu Alaikum।
207,smish,"⏩নতুন website [PROFITSHOP24]
▶️Registration fee 15 TK
▶️ Registration link: inbox।
🌟 কাজ হলোঃ
YouTube এ video দেখা,,অথবা Facebook এ একটা page follow দিয়ে আপনি 1-3 TK income করতে পারবেন।🔥😱
👉মাত্র ৩৫ TK হলেই withdraw দিতে পারবেন 👈"
208,promo,"“আপনার life, health ও property এর unexpected/accidental damage reduce করার solution হলো insurance। Insurance করুন, risk-free থাকুন”-Insurance Development & Regulatory Authority।"
209,normal,Tomar courage অসাধারণ।
210,promo,"বেশি বেশি chat+internet,নাও ৫GB+১৫০min@১৪৯TK,৭days cutt.ly/owEyhCVt"
211,promo,"Grammenphone এর minute offer এখন আরো attractive! ২৭ minute ২৪ hours, নিতে recharge বা bKash করুন ১৯ TK।"
212,promo,"Full-on internet এ pocket saving,নাও ২GB@৬৯TK,৭ days- cutt.ly/CwUPKGTR"
213,smish,আপনার email address টি verify করতে এখানে click করুন: [emailsecure.net/VerifyBD]
214,promo,৩০GB (bonus সহ) 300TK ৩০days। Dial *১২১*৫২৫৪# বা mygp.li/mo
215,promo,"Hotspot cashback ১৮TK! Hotspot deal এ ২২GB@১৭৯TK, ৭days: cutt.ly/fwLo4TBP"
216,promo,"Purbachal সংলগ্ন Navana এর ৩,৫ ও ১০ katha এর plot কিনুন – ০১৮৪৭-২১৪০১৯"
217,smish,Bangladesh Bank account block হয়েছে। পুনরায় activate করতে এখানে click করুন: https://wa.me/8801911011123
218,smish,Sonali Bank থেকে আপনার জন্য urgent message। Details জানতে এখানে click করুন: https://wa.me/8801816677889
219,smish,"Smartphone জেতার amazing offer! Simple কিছু question এর answer দিয়ে win করুন ১৪,৯৯৯ TK এর attractive smartphone Oppo A17 মাত্র ২.৭৮TK/day, Dial *213*664#"
220,promo,Bonus সহ ২GB-৩৫TK-৭days। Dial *১২১*৫০৩৭# বা mygp.li/mo
221,smish,প্রতিদিন ৫০০-৭০০ TK income করুন! Flexiload SIM ব্যবহার করে ঘরে বসে। Details জানতে inbox করুন।
222,smish,"ভালোভাবে try করলে month এ ৩০-৬০ thousand TK income করতে পারবেন ...!🥰কাজ করতে না চাইলে ও একবার আমাদের online class টা করুন, আসা করি ভালো লাগবে।
শুধু telegram id লাগবে।"
223,normal,আমার number এ ০১৭৩৬৬৩৭৩৮৭ flexiload করে দাও ৫০০ TK
224,promo,"৫GB+১৫০min ১৩০TK (৩০days),Dial *১২১*৫২০৫# বা https://mygp.li/a0"
225,normal,Shuvo Probhat!
226,smish,"Attractive job ও study, monthly salary ২ lakh+ এবং South Korea এ permanent residence এর opportunity।
Free tuition ও accommodation এর ব্যবস্থা।
Contact করুন:
01720557103
01720557120
01321200716
01550402100"
227,normal,Electricity এর bill এর payment করা হয়।
228,normal,Tumi ki concert এ যাচ্ছো?
229,promo,"‘Insurance করবো, country গড়বো
Smart হবে Bangladesh।’ Insurance Development & Regulatory Authority এবং Financial Institution Division Finance Ministry।"
230,normal,Confidence নিয়ে সামনে এগিয়ে যাও।
231,smish,আপনার credit card block করা হয়েছে। পুনরায় activate করতে এখানে click করুন: http://bit.ly/UnblockCard
232,normal,"Everything ঠিক হয়ে যাবে, patience ধরো।"
233,smish,দৈনিক ১৫০০ TK earn করতে চাইলে please এই link এ click করুন এবং job register করুন: [https://t.me/DailyEarn_Money_bot?start=r07045881105](https://t.me/DailyEarn_Money_bot?start=r07045881105)। যদি any question থাকে তাহলে inbox করুন।
234,promo,নতুন season এ সব clothes এ ২৫% discount। আজই shopping করুন।
235,smish,"PLC,LIMITED.

প্রিয় applicant, congratulations!

আপনার CV select হয়েছে। Position এর name - Customer Service/Unit Manager (Dev..) (Part Time / Full Time)। যদি আপনি job এ interested হন তবে অবশ্যই CV এবং passport size এর ৪ copy picture নিয়ে আসতে হবে।

Job location - আপনি Dhaka city এর any branch office select করতে পারবেন।

Interview date - ১৪ November ২০২৩ (১০.০০am - ০৪.০০pm)

Contact address - ১৬৬, Dilkhusha, Motijheel, Dhaka ১০০০।

Details জানার জন্য call করুন: ০১৬১৩৫৮৯১৩৭"
236,promo,Limited time offer! ৪০GB (bonusসহ) ৫০০TK ৩০days।Dial *১২১*৫০৪৯# বা mygp.li/mo
237,normal,"Hello, kemon achhen?"
238,promo,Offer: সব electronics এ ১০% cashback। Code: ELEC10.
239,smish,"দিনে ২০০-৩০০ TK earn করতে চাইলে link এ click করুন
https://t.me/Referincome3838_bot?start=r02263807585"
240,promo,Free delivery সব order এ। Limited time এর জন্য।
241,promo,নতুন customer দের জন্য special discount। আজই register করুন।
242,smish,আপনার mobile recharge করতে call করুন: +8801818788890
243,promo,bKash app এ skitto deals এ ৩০TK পর্যন্ত cashback cutt.ly/8HBaVWF
244,smish,আপনার internet connection পুনরায় activate করতে call করুন +8801816677889
245,normal,Kemon jeno tomar time কাটছে?
246,smish,"প্রিয় countrymen ! (COVID-19)
Corona virus এর জন্য
2,500 TK government
donation দেওয়া হবে।
Money নেওয়ার জন্য নিচের number এ contact করুনঃ-01810559231"
247,normal,Shuvo Pohela Boishakh!
248,normal,Ei time টাও কেটে যাবে।
249,promo,Bonus সহ ২GB-৪০TK-৭days। Dial *১২১*৫০৩৭# বা mygp.li/mo
250,smish,আপনার mobile recharge করতে call করুন: +8801814344356
251,smish,"Welcome to মেঘের রঙ! চলুন আপনার home সাজিয়ে নেই easy installment-e. Online order দিন এবং maybe এই month-এর মধ্যে পাওয়ার chance নিন - ০১৭৪৬৬৩৫৭২৫"
252,smish,"আপনার internet connection আবার চালু করতে call করুন +8801811122334"
253,normal,"Everything ঠিকঠাক হবে, চিন্তা করো না।"
254,normal,"০১৮২৭২৮৩৯৬২ number-e call করুন।"
255,promo,"TK.৫০ cashback-e Pro-level data deal ৫০GB@TK.৪৪৮,৩০days cutt.ly/nwMwL8Y1"
256,smish,"আপনার Dutch Bangla Bank account-e billing problem হয়েছে। Problem solve-er jonno এখানে click করুন:cutt.ly/U6zMFTY"
257,promo,"৫GB+১৫০minute TK.১৩০ (৩০days),dial *১২১*৫২০৫# or https://mygp.li/a0"
258,smish,"Sonali Bank account-e problem হয়েছে। Call করুন: +8801813233245"
259,normal,"Good night, ভালো থেকো!"
260,normal,"Happy Holi!"
261,smish,"আপনার mobile number টি high-end laptop জিতেছে! Prize পেতে call করুন +8801814455667"
262,smish,"Mashrafee-r সাথে free dinner-er chance পেতে casino-তে bet করুন। Start করুন: promusic.co/components/interbank.com/"
263,normal,"তোমার কি real ভালো লাগছে? আমি আমার বাসায় little time দেওয়া ভালো লাগে।"
264,smish,"Bangladesh Bank account-e error দেখা দিয়েছে। Call করুন: +8801814344356"
265,promo,"bKash app থেকে নাও তোমার favorite Skitto packs এখনই: cutt.ly/Zwcqh6YQ"
